id,name,XX,type,measurement,institution,value,year
000010401,Mount Pearl,-4.0,OZONE,PPB,Newfoundland & Labrador DEC,27.402770533908456,2020
000010401,Mount Pearl,-4.0,PM2.5,UG/M3,Newfoundland & Labrador DEC,4.523764417205501,2020
000010501,Grand Falls Windsor,-4.0,OZONE,PPB,Newfoundland & Labrador DEC,28.87549490246786,2020
000010601,Goose Bay,-4.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,29.193712878352343,2020
000010602,MacPherson Avenue - ,-4.0,PM2.5,UG/M3,Environment Canada,5.37345200107853,2020
000010801,Port au Choix,-4.0,OZONE,PPB,Newfoundland & Labrador DEC,25.76384678227208,2020
000010901,Marystown/Burin,-4.0,PM2.5,UG/M3,Environment Canada,4.442852653330599,2020
000011002,FIREHALL-LABRADORCIT,-4.0,PM2.5,UG/M3,Environment Canada,2.3496818055955617,2020
000020104,CHARLOTTETOWN,-4.0,NO,PPB,Environment Canada,0.3402772836197609,2020
000020104,CHARLOTTETOWN,-4.0,NO2,PPB,Environment Canada,1.565720129184666,2020
000020104,CHARLOTTETOWN,-4.0,OZONE,PPB,Environment Canada,25.04270198292846,2020
000020104,CHARLOTTETOWN,-4.0,PM2.5,UG/M3,Environment Canada,6.540440612810916,2020
000020104,CHARLOTTETOWN,-4.0,SO2,PPB,Environment Canada,0.20461956042919552,2020
000020301,WELLINGTON,-4.0,NO,PPB,Environment Canada,0.22909159776088142,2020
000020301,WELLINGTON,-4.0,NO2,PPB,Environment Canada,0.4351362629180952,2020
000020301,WELLINGTON,-4.0,OZONE,PPB,Environment Canada,27.07465381059595,2020
000020301,WELLINGTON,-4.0,PM2.5,UG/M3,Environment Canada,4.562189717054193,2020
000020401,SOUTHAMPTON,-4.0,NO,PPB,Environment Canada,0.05969224923222633,2020
000020401,SOUTHAMPTON,-4.0,NO2,PPB,Environment Canada,0.38575648563814763,2020
000020401,SOUTHAMPTON,-4.0,OZONE,PPB,Environment Canada,27.76051401175943,2020
000020401,SOUTHAMPTON,-4.0,PM2.5,UG/M3,Environment Canada,4.494346066924695,2020
000030113,JOHNSTON BUILDING -,-4.0,PM2.5,UG/M3,Environment Canada,5.481588937344072,2020
000030120,Lake Major,-4.0,NO,PPB,Environment Canada,0.30929439158576605,2020
000030120,Lake Major,-4.0,OZONE,PPB,Environment Canada,28.867730345175215,2020
000030120,Lake Major,-4.0,PM2.5,UG/M3,Environment Canada,4.434413691947554,2020
000030201,PORT HAWKESBURY,-4.0,NO,PPB,Environment Canada,1.249375262057505,2020
000030201,PORT HAWKESBURY,-4.0,NO2,PPB,Environment Canada,2.373689430629168,2020
000030201,PORT HAWKESBURY,-4.0,OZONE,PPB,Environment Canada,28.176027830703223,2020
000030201,PORT HAWKESBURY,-4.0,PM2.5,UG/M3,Environment Canada,5.108288065265264,2020
000030310,SYDNEY,-4.0,NO,PPB,Environment Canada,1.0864756816451708,2020
000030310,SYDNEY,-4.0,NO2,PPB,Environment Canada,2.509506533193263,2020
000030310,SYDNEY,-4.0,OZONE,PPB,Environment Canada,28.51889098364813,2020
000030310,SYDNEY,-4.0,PM2.5,UG/M3,Environment Canada,4.860397991929926,2020
000030310,SYDNEY,-4.0,SO2,PPB,Environment Canada,0.38407975118708815,2020
000030502,Kejimkujik Site B,-4.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,29.281137827423247,2020
000030701,AYLESFORD MOUNTAIN,-4.0,OZONE,PPB,Environment Canada,32.11763047821497,2020
000030701,AYLESFORD MOUNTAIN,-4.0,PM2.5,UG/M3,Environment Canada,3.989235345134739,2020
000030901,PICTOU,-4.0,NO,PPB,Environment Canada,0.06855224766388472,2020
000030901,PICTOU,-4.0,NO2,PPB,Environment Canada,0.7803237721474537,2020
000030901,PICTOU,-4.0,OZONE,PPB,Environment Canada,30.249339822200756,2020
000030901,PICTOU,-4.0,PM2.5,UG/M3,Environment Canada,4.487577005970997,2020
000031101,KENTVILLE,-4.0,OZONE,PPB,Environment Canada,29.176278864680445,2020
000031101,KENTVILLE,-4.0,PM2.5,UG/M3,Environment Canada,5.164111529476688,2020
000040104,FREDERICTON-NEEDHAM ,-4.0,NO2,PPB,Environment Canada,2.2288244666809742,2020
000040104,FREDERICTON-NEEDHAM ,-4.0,OZONE,PPB,Environment Canada,26.330551657357585,2020
000040104,FREDERICTON-NEEDHAM ,-4.0,PM2.5,UG/M3,Environment Canada,5.2436886668749105,2020
000040203,FOREST HILLS,-4.0,OZONE,PPB,Environment Canada,30.194475957458717,2020
000040203,FOREST HILLS,-4.0,PM2.5,UG/M3,Environment Canada,5.1104659740926115,2020
000040207,SAINT JOHN WEST,-4.0,OZONE,PPB,Environment Canada,30.765917785797395,2020
000040207,SAINT JOHN WEST,-4.0,PM2.5,UG/M3,Environment Canada,4.7208527678826595,2020
000040209,CASTLE ST. SAINT JO,-4.0,PM2.5,UG/M3,Environment Canada,4.686662053787297,2020
000040302,MONCTON,-4.0,NO2,PPB,Environment Canada,2.65368772810171,2020
000040302,MONCTON,-4.0,OZONE,PPB,Environment Canada,22.968192140927062,2020
000040302,MONCTON,-4.0,PM2.5,UG/M3,Environment Canada,5.07233909115731,2020
