Unique_ID,Location_type,Zipcode,name,type,measurement,value,lat,lon,AQI_level
S_000010102,Site,,St. John's,NO2_AQI,AQI,2.8207179494141066,47.6528,-52.8167,good
S_000010102,Site,,St. John's,OZONE,PPB,25.31981398364439,47.6528,-52.8167,
S_000010102,Site,,St. John's,OZONE_AQI,AQI,23.08361788967172,47.6528,-52.8167,good
S_000010401,Site,,Mount Pearl,NO2_AQI,AQI,0.9918460087691624,47.505,-52.7947,good
S_000010401,Site,,Mount Pearl,OZONE,PPB,27.40168129717674,47.512820350000005,-52.8011909,
S_000010401,Site,,Mount Pearl,OZONE_AQI,AQI,25.26461401068761,47.505,-52.7947,good
S_000010401,Site,,Mount Pearl,PM2.5,UG/M3,4.523764417205501,47.52064070000001,-52.8076818,
S_000010401,Site,,Mount Pearl,PM25,UG/M3,4.52338160321459,47.505,-52.7947,
S_000010401,Site,,Mount Pearl,PM25_AQI,AQI,19.314635230633147,47.505,-52.7947,good
S_000010501,Site,,Grand Falls Windsor,NO2_AQI,AQI,1.955361630456422,49.0194,-55.8028,good
S_000010501,Site,,Grand Falls Windsor,OZONE,PPB,28.876317668168344,48.97353435,-55.73015125,
S_000010501,Site,,Grand Falls Windsor,OZONE_AQI,AQI,26.475951340041064,49.0194,-55.8028,good
S_000010601,Site,,Goose Bay,OZONE,PPB,29.17824531367401,53.3031913,-60.3452421,
S_000010601,Site,,Goose Bay,OZONE_AQI,AQI,26.543142822273698,53.3047,-60.3644,good
S_000010602,Site,,MacPherson Avenue - Corner Brook,NO2_AQI,AQI,2.296403688984505,48.95224,-57.92207,good
S_000010602,Site,,MacPherson Avenue - ,PM2.5,UG/M3,5.37345200107853,48.95224,-57.92207,
S_000010602,Site,,MacPherson Avenue - Corner Brook,PM25,UG/M3,5.373894835217016,48.95224,-57.92207,
S_000010602,Site,,MacPherson Avenue - Corner Brook,PM25_AQI,AQI,22.0023992054316,48.95224,-57.92207,good
S_000010801,Site,,Port au Choix,OZONE,PPB,25.764289616410565,50.7070756,-57.3573834,
S_000010801,Site,,Port au Choix,OZONE_AQI,AQI,24.03711343589765,50.71124,-57.36365,good
S_000010901,Site,,Marystown/Burin,NO2_AQI,AQI,0.9808451516523596,47.098991,-55.198521,good
S_000010901,Site,,Marystown/Burin,PM2.5,UG/M3,4.442852653330599,47.1650754,-55.1555299,
S_000010901,Site,,Marystown/Burin,PM25,UG/M3,4.442852653330599,47.098991,-55.198521,
S_000010901,Site,,Marystown/Burin,PM25_AQI,AQI,18.34170609237989,47.098991,-55.198521,good
S_000011002,Site,,FIREHALL-LABRADORCIT,PM2.5,UG/M3,2.3496818055955617,52.9452094,-66.910551,
S_000011002,Site,,FIREHALL-LABRADORCITY2,PM25,UG/M3,2.349572012007507,52.945487,-66.910306,
S_000011002,Site,,FIREHALL-LABRADORCITY2,PM25_AQI,AQI,7.102242679681772,52.945487,-66.910306,good
S_000020104,Site,,CHARLOTTETOWN,NO,PPB,0.3402772836197609,46.23824,-63.13107040000001,
S_000020104,Site,,CHARLOTTETOWN,NO2,PPB,1.5657176130816062,46.23942,-63.13083520000001,
S_000020104,Site,,CHARLOTTETOWN,NO2_AQI,AQI,1.5339628631261786,46.2406,-63.1306,good
S_000020104,Site,,CHARLOTTETOWN,OZONE,PPB,25.042168569079827,46.23942,-63.13083520000001,
S_000020104,Site,,CHARLOTTETOWN,OZONE_AQI,AQI,22.774161068332088,46.2406,-63.1306,good
S_000020104,Site,,CHARLOTTETOWN,PM2.5,UG/M3,6.540440612810916,46.23824,-63.13107040000001,
S_000020104,Site,,CHARLOTTETOWN,PM25,UG/M3,6.5397662971909485,46.2406,-63.1306,
S_000020104,Site,,CHARLOTTETOWN,PM25_AQI,AQI,26.58057823686165,46.2406,-63.1306,good
S_000020104,Site,,CHARLOTTETOWN,SO2,PPB,0.2046195604291955,46.23942,-63.13083520000001,
S_000020301,Site,,WELLINGTON,NO,PPB,0.2290915977608814,46.4783,-63.9869,
S_000020301,Site,,WELLINGTON,NO2,PPB,0.4351714883609293,46.4783,-63.9869,
S_000020301,Site,,WELLINGTON,NO2_AQI,AQI,0.4341718866086394,46.4783,-63.9869,good
S_000020301,Site,,WELLINGTON,OZONE,PPB,27.07312401993572,46.4783,-63.9869,
S_000020301,Site,,WELLINGTON,OZONE_AQI,AQI,24.70770694403945,46.4783,-63.9869,good
S_000020301,Site,,WELLINGTON,PM2.5,UG/M3,4.562189717054193,46.4783,-63.9869,
S_000020301,Site,,WELLINGTON,PM25,UG/M3,4.561465079373034,46.4783,-63.9869,
S_000020301,Site,,WELLINGTON,PM25_AQI,AQI,18.8058697386067,46.4783,-63.9869,good
S_000020401,Site,,SOUTHAMPTON,NO,PPB,0.0596922492322263,40.884267,-72.3895296,
S_000020401,Site,,SOUTHAMPTON,NO2,PPB,0.3856608737218835,43.6353335,-67.4861648,
S_000020401,Site,,SOUTHAMPTON,NO2_AQI,AQI,0.3851646207799784,46.3864,-62.5828,good
S_000020401,Site,,SOUTHAMPTON,OZONE,PPB,27.760624540572405,43.6353335,-67.4861648,
S_000020401,Site,,SOUTHAMPTON,OZONE_AQI,AQI,25.417736762824777,46.3864,-62.5828,good
S_000020401,Site,,SOUTHAMPTON,PM2.5,UG/M3,4.494346066924695,40.884267,-72.3895296,
S_000020401,Site,,SOUTHAMPTON,PM25,UG/M3,4.494039102351427,46.3864,-62.5828,
