,CBSA,Population_2010,CBSA_code,CO_8hr_ppm,Pb_3mo,NO2_Am_ppb,NO2_1h_ppb,O3_8hr_ppm,PM10_24hr,PM25_AM,PM25_24hr,SO2_1hr_ppb
1,"Aberdeen, SD",40602,10100,,,,,,35,5.9,18,
2,"Aberdeen, WA",72797,10140,,,,,,,,,
3,"Adjuntas, PR",19483,10260,,,,,,,5.5,16,
4,"Adrian, MI",99892,10300,,,,,0.05899999999999998,,8.5,22,
5,"Aguadilla-Isabela, PR",339441,10380,,,,,,,,,
6,"Akron, OH",703200,10420,,,,,0.066,,8.7,22,3
7,"Albany, GA",157308,10500,,,,,,,9.3,26,
8,"Albany, OR",116672,10540,,,,,,,,,
9,"Albany-Schenectady-Troy, NY",870716,10580,1,,,,0.05600000000000001,,7,18,3
10,"Albert Lea, MN",31255,10660,,,,,,,,,
11,"Albuquerque, NM",887077,10740,1,,9,44,0.069,141,7.7,20,4
12,"Alexandria, LA",153922,10780,,,,,,,7.5,16,
13,"Alexandria, MN",36009,10820,,,,,,,,,
14,"Allentown-Bethlehem-Easton, PA-NJ",821173,10900,,0.04,11,43,0.065,31,8.5,26,6
15,"Alpena, MI",29598,10980,,,,,,,,,
16,"Altoona, PA",127089,11020,,,,,0.064,,,,8
17,"Amarillo, TX",251933,11100,,,,,0.068,,5.2,13,8
18,"Americus, GA",37829,11140,,,,,0.062,,,,
19,"Ames, IA",89542,11180,,,,,,,,,
20,"Anchorage, AK",380821,11260,2,,,,,148,8.2,42,
21,"Ann Arbor, MI",344791,11460,,,,,0.06,,8.5,22,
22,"Appleton, WI",225666,11540,,,,,0.05700000000000001,,8,26,32
23,"Ardmore, OK",47557,11620,,,,,0.065,,7.7,16,
24,"Arecibo, PR",199471,11640,,0.07000000000000002,,,,,,,
25,"Arkadelphia, AR",22995,11660,,,,,0.05700000000000001,,,,
26,"Asheville, NC",424858,11700,,,,,0.062,,6.1,14,35
27,"Ashtabula, OH",101497,11780,,,,,0.068,,,,3
28,"Athens, OH",64757,11900,,,,,,,6.4,13,
29,"Athens, TN",52266,11940,,,,,,,7.4,15,
30,"Athens-Clarke County, GA",192541,12020,,,,,0.063,,9.8,21,
31,"Atlanta-Sandy Springs-Roswell, GA",5286728,12060,2,,16,50,0.075,40,10.8,24,5
32,"Atlantic City-Hammonton, NJ",274549,12100,,,,,0.05899999999999998,,6.7,17,1
33,"Augusta-Richmond County, GA-SC",564873,12260,,,,,0.066,25,10.7,22,49
34,"Augusta-Waterville, ME",122151,12300,,,3,27,0.054,,,,1
35,"Austin-Round Rock, TX",1716289,12420,2,,12,32,0.065,38,9.5,21,2
36,"Bakersfield, CA",839631,12540,1,,12,56,0.084,382,13,47,
37,"Baltimore-Columbia-Towson, MD",2710489,12580,2,,16,41,0.077,34,8.3,31,11
38,"Bangor, ME",153923,12620,,,,,0.054,43,4.3,13,
39,"Baraboo, WI",61976,12660,,,,,0.061,35,7.3,21,
40,"Barnstable Town, MA",215888,12700,,,,,0.06,,,,
41,"Barre, VT",59534,12740,,,,,,,,,
42,"Bartlesville, OK",50976,12780,,,,,,,,,
43,"Baton Rouge, LA",802484,12940,1,0,10,45,0.07000000000000002,51,9.2,23,16
44,"Bay City, MI",107771,13020,,,,,,,6.8,18,
45,"Beaumont-Port Arthur, TX",403190,13140,,,6,31,0.074,,8.5,19,62
46,"Beaver Dam, WI",88759,13180,0,,,,0.062,34,,,1
47,"Beckley, WV",124898,13220,,,,,,,,,
48,"Bellingham, WA",201140,13380,,,,,0.04399999999999999,,4.6,12,105
49,"Bemidji, MN",44442,13420,,,,,,,6,16,
50,"Bend-Redmond, OR",157733,13460,,,,,,,,,
51,"Bennington, VT",37125,13540,,,,,0.05600000000000001,,5.6,14,
52,"Berlin, NH-VT",39361,13620,,,,,0.055,,,,
53,"Big Spring, TX",36238,13700,,,,,,,,,80
54,"Billings, MT",158934,13740,,,,,,,,,18
55,"Binghamton, NY",251725,13780,,,,,,,,,
56,"Birmingham-Hoover, AL",1128047,13820,1,,12,50,0.074,106,10.4,21,78
57,"Bishop, CA",3879,13860,1,,,,0.069,529,5.2,16,0
58,"Bismarck, ND",114778,13900,1,,5,40,0.061,47,4.6,13,11
59,"Blacksburg-Christiansburg-Radford, VA",178237,13980,,0,,,0.06,,,,80
60,"Bloomington, IL",186133,14010,,,,,0.063,,9.2,21,
61,"Bloomington, IN",159549,14020,,,,,0.062,,7.7,16,
62,"Bluefield, WV-VA",107342,14140,,,,,,,,,
63,"Blytheville, AR",46480,14180,,,,,,,,,
64,"Boise City, ID",616561,14260,1,,,,0.05700000000000001,83,6.9,25,3
65,"Boone, NC",51079,14380,,,,,,,,,
66,"Borger, TX",22150,14420,,,,,,,,,168
