,State,County,County_FIPS_Code,Population_2010,CO_8hr_ppm,Pb_3mo,NO2_Am_ppb,NO2_1h_ppb,O3_8hr_ppm,PM10_24hr,PM25_AM,PM25_24hr,SO2_1hr_ppb
1,Alabama,Baldwin County,01003,182265,,,,,0.063,,7.5,15,
2,Alabama,Clay County,01027,13932,,,,,,,7.4,15,
3,Alabama,Colbert County,01033,54428,,,,,0.05600000000000001,,,,
4,Alabama,DeKalb County,01049,71109,,,,,0.062,,,,
5,Alabama,Elmore County,01051,79303,,,,,0.05899999999999998,,,,
6,Alabama,Escambia County,01053,38319,,,,,,,,,
7,Alabama,Etowah County,01055,104430,,,,,0.063,,8.3,16,
8,Alabama,Houston County,01069,101547,,,,,0.05700000000000001,,8.1,17,
9,Alabama,Jefferson County,01073,658466,1,,12,50,0.074,106,10.4,21,41
10,Alabama,Madison County,01089,334811,,,,,0.063,34,7.4,14,
11,Alabama,Mobile County,01097,412992,,,,,0.05899999999999998,,8.3,17,22
12,Alabama,Montgomery County,01101,229363,,,,,0.06,33,9,16,
13,Alabama,Morgan County,01103,119490,,,,,0.064,,7.6,14,
14,Alabama,Pike County,01109,32899,,0.16,,,,,,,
15,Alabama,Russell County,01113,52947,,,,,0.061,,9.4,21,
16,Alabama,Shelby County,01117,195085,,,,,0.07000000000000002,,,,78
17,Alabama,Sumter County,01119,13763,,,,,0.05700000000000001,,,,4
18,Alabama,Talladega County,01121,82291,,,,,,,,,
19,Alabama,Tuscaloosa County,01125,194656,,,,,0.06,,7.9,15,
20,Alabama,Walker County,01127,67023,,,,,,,,,
21,Alaska,Anchorage Municipality,02020,291826,2,,,,,98,8.2,42,
22,Alaska,Bethel Census Area,02050,17013,,,,,,99,,,
23,Alaska,Denali Borough,02068,1826,,,,,0.053000000000000005,,,,
24,Alaska,Fairbanks North Star Borough,02090,97581,2,,,,0.04699999999999999,200,15.5,78,30
25,Alaska,Juneau City and Borough,02110,31275,,,,,,50,6.8,25,
26,Alaska,Kenai Peninsula Borough,02122,55400,,,,,,,,,
27,Alaska,Ketchikan Gateway Borough,02130,13477,,,,,,,,,
28,Alaska,Matanuska-Susitna Borough,02170,88995,,,,,,148,6.5,28,
29,Alaska,Skagway Municipality,02232,968,,,,,,,,,
30,Arizona,Apache County,04001,71518,,,,,,38,2.4,7,
31,Arizona,Cochise County,04003,131346,,,,,0.066,97,5.1,10,
32,Arizona,Coconino County,04005,134421,,,,,0.063,,,,
33,Arizona,Gila County,04007,53597,,0.16,,,0.075,191,,,191
34,Arizona,La Paz County,04012,20489,,,,,0.062,40,3.3,7,
35,Arizona,Maricopa County,04013,3817117,2,0.05,25,52,0.076,183,8.4,23,5
36,Arizona,Mohave County,04015,200186,,,,,,72,,,
37,Arizona,Navajo County,04017,107449,,,,,0.066,35,,,
38,Arizona,Pima County,04019,980263,1,,7,30,0.065,139,3.8,9,1
39,Arizona,Pinal County,04021,375770,,,,,0.072,990,10.9,30,
40,Arizona,Santa Cruz County,04023,47420,,,,,,108,8.8,25,
41,Arizona,Yavapai County,04025,211033,,,,,0.061,,,,
42,Arizona,Yuma County,04027,195751,,,,,0.065,174,7.9,16,
43,Arkansas,Arkansas County,05001,19019,,,,,,,7.9,19,
44,Arkansas,Ashley County,05003,21853,,,,,,,8.2,17,
45,Arkansas,Benton County,05007,221339,,,,,,,,,
46,Arkansas,Clark County,05019,22995,,,,,0.05700000000000001,,,,
47,Arkansas,Craighead County,05031,96443,,,,,,,,,
48,Arkansas,Crittenden County,05035,50902,,,8,40,0.064,,8.3,18,
49,Arkansas,Faulkner County,05045,113237,,,,,,,,,
50,Arkansas,Garland County,05051,96024,,,,,,,8.8,16,
51,Arkansas,Jackson County,05067,17997,,,,,,,8.2,18,
52,Arkansas,Jefferson County,05069,77435,,,,,,,,,
53,Arkansas,Marion County,05089,16653,,,,,,,,,
