uid,lat,lon,name,aqi
40,68.356994,-133.714063,"Inuvik, NorthWestTerritories, Canada",30
12706,67.275501,14.419057,"Olav V gate, Bodo, Norway",-
12698,66.312191,14.149923,"Moheia vest, Mo i Rana, Norway",-
2660,69.65625,18.96372,"Hansjordnesbukta, Tromso, Norway",-
12701,68.79222701,16.53742346,"Seljestad Rv83, Harstad, Norway",-
4929,67.97328,24.11559,"Sammaltunturi, Muonio, Finland",25
4951,67.99997,24.24001,"Matorova, Kittilä, Finland",17
4924,68.478,28.30123,"Raja-Jooseppi, Inari, Finland",4
12870,64.845930555556,-147.69327777778,"Hamilton Acres Baptist School, Alaska",78
7611,64.8458,-147.72727,"FNSB NCORE, Alaska",78
8308,64.762742,-147.310234,"FNSB NP Fire, Alaska",76
41,65.279676,-126.812887,"Norman Wells, NorthWestTerritories, Canada",73
42,62.452084,-114.364031,"Yellowknife, NorthWestTerritories, Canada",46
8299,62.48813,-114.358177,"Marina 1, NorthWestTerritories, Canada",9
8300,62.475464,-114.338376,"N'Dilo 1, NorthWestTerritories, Canada",1
10717,62.460548,-114.374587,"Niven Lake 1, NorthWestTerritories, Canada",9
10020,64.374,-21.759,"Grund.,Kríuv., Iceland",58
11756,64.044,-21.985,"Hafnarfjörður, Norðurhella, Iceland",13
8344,64.13,-21.875,"Grensásv., Iceland",12
8345,64.139,-21.874,"Húsdýrag., Iceland",8
8347,64.105,-21.889,"Kóp. Dalsm., Iceland",19
8348,64.059,-21.991,"Hvaleyrarh., Iceland",13
10019,64.334,-21.835,"Grund., Gröf, Iceland",9
10525,65.684,-18.088,"Strandgata, Iceland",24
2666,62.47217,6.15682,"Grimmerhaugen, Alesund, Norway",-
12712,62.470622,6.153501,"Karl Eriksensplass, Alesund, Norway",-
2663,63.419239,10.395945,"Elgseter, Trondheim, Norway",-
2665,63.43038,10.39355,"Torvet, Trondheim, Norway",-
8232,63.3576,10.3719,"E6-Tiller, Trondheim, Norway",-
10521,63.849,15.3356,"Bredkälen, Sweden",24
9328,62.388553619385,17.308979034424,"Sundsvall Köpmansgatan, Sweden",-
4969,62.7785,22.83932,"Vapaudentie 6a, Seinäjoki, Finland",11
4926,63.84157,23.04219,"Ykspihlaja, Kokkola, Finland",5
4931,63.67912,22.71837,"Bottenviksvägen, Pietarsaari, Finland",7
7963,63.83764,23.1316,"Keskusta Pitkänsillankatu, Kokkola, Finland",7
4936,63.10121,21.60407,"Vaasa vesitorni, Vaasa, Finland",31
4970,63.09515,21.61832,"Vaasan keskusta, Vaasa, Finland",6
9327,63.828858867019,20.25849061964,"Umeå Västra Esplanaden, Sweden",-
4972,62.31391,27.88699,"Psaari 2, Varkaus, Finland",7
4953,62.88205,27.66197,"Tasavallankatu, Kuopio, Finland",18
13310,62.89553,27.64725,"Savilahti KYS, Kuopio, Finland",21
13307,62.2382,25.74802,"Hannikaisenkatu, Jyväskylä, Finland",52
9997,64.66779,24.41921,"Lapaluoto, Raahe, Finland",12
4967,64.68337,24.48162,"Raahen keskusta 2, Raahe, Finland",281
4914,62.8935,27.6883,"Maaherrankatu, Kuopio, Finland",26
4915,65.00997,25.47132,"Oulun keskusta 2, Oulu, Finland",33
4917,65.04338,25.4979,"Pyykösjärvi, Oulu, Finland",23
4925,62.28999,25.70917,"Palokka 2, Jyväskylä, Finland",53
4927,62.95559,27.69704,"Sorsasalo, Kuopio, Finland",1
