Unique_ID,dataset
S_000010102,train
S_000010401,train
S_000010501,train
S_000010601,train
S_000010602,0
S_000010801,train
S_000010901,0
S_000011002,0
S_000020104,test
S_000020301,train
S_000020401,train
S_000030113,0
S_000030120,val
S_000030201,train
S_000030310,val
S_000030502,train
S_000030701,train
S_000030901,train
S_000031101,train
S_000040104,train
S_000040203,train
S_000040207,train
S_000040209,0
S_000040302,train
S_000040901,train
S_000041302,val
S_000041501,0
S_000050113,train
S_000050119,train
S_000050204,test
S_000050308,train
S_000050311,train
S_000050404,train
S_000050604,train
S_000051501,train
S_000052001,train
S_000052201,train
S_000052301,train
S_000052401,test
S_000053201,train
S_000053301,train
S_000053501,train
S_000053601,train
S_000053701,train
S_000053801,train
S_000053901,val
S_000054201,test
S_000054401,train
S_000054703,0
S_000054901,train
S_000055001,val
S_000055501,train
S_000060104,train
S_000060204,train
S_000060304,train
S_000060424,train
S_000060512,train
S_000060610,train
S_000060709,train
S_000060904,train
S_000061009,train
S_000061104,train
S_000061201,train
S_000061302,train
S_000061402,train
S_000061502,val
S_000062001,train
S_000062501,train
S_000063301,train
S_000063701,train
S_000064001,train
S_000064101,train
S_000064401,train
S_000065201,train
S_000065301,test
S_000065401,train
S_000065801,train
S_000065901,test
S_000066101,train
S_000070119,val
S_000070203,train
S_000070301,0
S_000080110,train
S_000080211,train
S_000080402,train
S_000081001,train
S_000082001,train
S_000090120,train
S_000090121,train
S_000090130,train
S_000090133,0
S_000090222,train
S_000090228,train
S_000090302,val
S_000090402,train
S_000090502,train
S_000090601,train
S_000090606,train
S_000090701,train
S_000090702,train
S_000090801,train
S_000091101,train
S_000091301,val
S_000091401,test
S_000091501,test
S_000091601,train
S_000091701,train
S_000091801,train
S_000091901,train
S_000092901,val
S_000094202,0
S_000094301,train
S_000094401,test
S_000100110,train
S_000100111,0
S_000100119,train
S_000100125,train
S_000100127,val
S_000100128,train
S_000100132,train
S_000100134,train
S_000100135,train
S_000100140,val
S_000100202,train
S_000100304,train
S_000100308,0
S_000100401,0
S_000100701,train
S_000101003,train
S_000101005,train
S_000101101,train
S_000101202,train
S_000101301,train
S_000101401,train
S_000101501,train
S_000101603,0
S_000101701,train
S_000102001,test
S_000102102,train
S_000102303,0
S_000102401,train
S_000102503,0
S_000102602,0
S_000102701,train
S_000103202,0
S_000103502,0
S_000103901,0
S_000103904,0
S_000103905,0
S_000104003,train
S_000104804,0
S_000105001,train
S_000105301,0
S_000105504,0
S_000106701,0
S_000106900,0
S_000107100,0
S_000129501,train
S_000129602,train
S_004AF1010001,0
S_010030010,train
S_010510004,val
S_010550011,train
S_010730023,train
S_010731003,test
S_010731005,train
S_010731010,test
S_010732003,0
S_010735003,train
S_010736002,train
S_010736004,0
S_010890014,train
S_010890022,test
S_010970003,train
S_010972005,train
S_011011002,train
S_011030011,train
S_011130003,train
S_011170004,train
S_011190003,train
S_011250010,train
S_020200018,0
S_020201004,0
S_020500001,0
S_020680003,train
S_020900034,train
S_020900035,0
S_021100004,0
S_021700008,0
S_032BAA010002,0
S_040030011,0
S_040031005,0
S_040038001,train
S_040051008,train
S_040058001,train
S_040070008,0
S_040070010,train
S_040070011,0
S_040070012,0
S_040071001,0
S_040078000,0
S_040128000,train
S_040130019,train
S_040131003,train
S_040131004,val
S_040131010,test
S_040131030,train
S_040132001,train
S_040132005,train
S_040133002,train
S_040133003,train
S_040134003,train
S_040134004,train
S_040134005,train
S_040134006,0
S_040134008,test
S_040134009,0
S_040134010,val
S_040134011,train
S_040134016,0
S_040134019,0
S_040134020,0
S_040137003,train
S_040137020,train
S_040137021,train
S_040137022,train
S_040137024,train
S_040139508,train
S_040139702,test
S_040139704,train
S_040139812,0
S_040139997,test
S_040151003,0
S_040170119,train
S_040190001,0
S_040190011,0
S_040190020,0
S_040190021,train
S_040191001,0
S_040191011,train
S_040191018,train
S_040191020,test
S_040191028,train
S_040191030,train
S_040191032,train
S_040191034,train
S_040191113,0
S_040210001,0
S_040213001,train
S_040213002,0
S_040213003,train
S_040213007,train
S_040213008,0
S_040213009,0
S_040213011,0
S_040213014,0
S_040213015,0
S_040213016,0
S_040217001,val
S_040217004,0
S_040218001,train
S_040230004,0
S_040258034,train
S_040278011,train
S_050199991,train
S_050350005,train
S_051010002,test
S_051130003,test
S_051190007,train
S_051191002,train
S_051191008,0
S_051430005,train
S_051430006,train
S_060010007,train
S_060010009,train
S_060010011,train
S_060010012,0
S_060010013,train
S_060010015,0
S_060012001,train
S_060050002,train
S_060070007,train
S_060070008,val
S_060072002,0
S_060074001,0
S_060090001,test
S_060111002,train
S_060130002,train
S_060130006,0
S_060131002,val
S_060131004,train
S_060132007,train
S_060170010,train
S_060170011,0
S_060170012,train
S_060170020,train
S_060190007,train
S_060190011,train
S_060190242,0
S_060192008,0
S_060192009,train
S_060194001,train
S_060195001,train
S_060210003,train
S_060231004,train
S_060250005,train
S_060250007,0
S_060251003,train
S_060254003,train
S_060254004,train
S_060270002,train
S_060270004,0
S_060270019,0
S_060270022,0
S_060270025,0
S_060270026,0
S_060270028,0
S_060270029,0
S_060270030,0
S_060270101,train
S_060271001,0
S_060271003,0
S_060271023,train
S_060271028,0
S_060290007,train
S_060290008,val
S_060290011,train
S_060290014,test
S_060290232,val
S_060292009,0
S_060292012,train
S_060295002,train
S_060296001,train
S_060310004,0
S_060311004,train
S_060370002,test
S_060370016,train
S_060370113,train
S_060371103,train
S_060371201,train
S_060371302,train
S_060371602,train
S_060371701,train
S_060372005,train
S_060374004,0
S_060374008,0
S_060375005,train
S_060376012,train
S_060379033,train
S_060390004,train
S_060392010,train
S_060410001,train
S_060430003,train
S_060430006,train
S_060431001,0
S_060450006,0
S_060450008,train
S_060450010,0
S_060452002,0
S_060470003,train
S_060510001,0
S_060510005,0
S_060510011,0
S_060530002,train
S_060530008,train
S_060531003,train
S_060539973,0
S_060539974,0
S_060539975,0
S_060539998,0
S_060539999,0
S_060550004,train
S_060556001,0
S_060570005,train
S_060571001,0
S_060590007,train
S_060590008,0
S_060592022,train
S_060595001,train
S_060610002,train
S_060610004,train
S_060610006,train
S_060611004,0
S_060612001,train
S_060631007,0
S_060631010,0
S_060639901,0
S_060650010,train
S_060650012,train
S_060650016,train
S_060652002,train
S_060652005,0
S_060655001,train
S_060656001,train
S_060658001,train
S_060658005,train
S_060659001,train
S_060659003,train
S_060670002,train
S_060670006,train
S_060670010,train
S_060670011,train
S_060670012,train
S_060670015,0
S_060675003,train
S_060690002,train
S_060690003,train
S_060710001,test
S_060710005,val
S_060710012,train
S_060710013,0
S_060710026,0
S_060710027,0
S_060710306,train
S_060711001,train
S_060711004,train
S_060711234,train
S_060712002,train
S_060714001,train
S_060714003,train
S_060719002,train
S_060719004,train
S_060730001,train
S_060731006,test
S_060731008,train
S_060731014,train
S_060731016,train
S_060731022,train
S_060750005,train
S_060771002,train
S_060772010,0
S_060773005,test
