,Unnamed: 0,Unique_ID,lat,lon
11,11,S_000030113,41.5067798,-69.33100036666667
14,14,S_000030310,15.026986783333331,22.03134825
24,24,S_000040901,48.46437259,-47.79403642
25,25,S_000041302,24.45834794285714,-4.144499771428575
33,33,S_000050604,47.7914737,-78.11825765
39,39,S_000053201,47.289434825,-72.417943475
42,42,S_000053601,47.0593318,-71.6725576
49,49,S_000054901,46.8536315,-53.32508675
50,50,S_000055001,47.23546575,-56.95178925
59,59,S_000060904,45.53432797,-56.87892809
61,61,S_000061104,46.78084954999999,-54.91715896999999
62,62,S_000061201,46.60039413,-53.833393750000006
67,67,S_000062501,43.49735633,-78.46673693
70,70,S_000064001,49.663012325,-93.722898075
76,76,S_000065401,42.46122512000001,-81.17211805000001
78,78,S_000065901,53.70400625,-90.2115705
79,79,S_000066101,49.221102900000005,-90.618222425
87,87,S_000082001,55.50333,-106.72167
99,99,S_000090701,55.60987542499999,-112.921279675
113,113,S_000094401,54.241598625,-111.48721684375
114,114,S_000100110,45.24277025,-116.48986617500002
117,117,S_000100125,45.44422555,-114.67644599999998
118,118,S_000100127,49.678274825,-92.16061502499998
119,119,S_000100128,46.22681115,-111.7008747
134,134,S_000101401,46.457823225,-115.4439783
145,145,S_000103202,48.069287125,-111.1710084
148,148,S_000103904,54.0492099,-128.4678162
158,158,S_000129501,58.137249725,-109.911290725
159,159,S_000129602,59.29013945,-113.094136625
168,168,S_010731010,39.62193662,-61.04916321999999
177,177,S_010972005,29.68044275,-86.73939727499999
184,184,S_020200018,53.274160300000005,-131.44746890000002
185,185,S_020201004,55.908117675,-138.884419175
186,186,S_020500001,53.73263672,-141.80634481
188,188,S_020900034,55.40630876,-127.02605852000002
189,189,S_020900035,55.85897703333334,-126.8057895
191,191,S_021700008,56.8744694,-138.0779584
202,202,S_040071001,44.07607907499999,-115.286557125
204,204,S_040078000,27.486891428571425,-86.74453292857142
210,210,S_040131030,32.97726368,-113.72953855
227,227,S_040137003,34.153964599999995,-108.114809775
229,229,S_040137021,36.028323650000004,-112.881199525
231,231,S_040137024,34.39026115,-107.78649825
235,235,S_040139812,36.14202519999999,-109.24844066666668
250,250,S_040191034,35.570740810000004,-104.25108411
311,311,S_060231004,39.85185586,-118.54052218
316,316,S_060254004,38.7217608125,-101.85818225
372,372,S_060530008,35.895529,-109.35237750000002
374,374,S_060539973,34.17516989999999,-113.44602686666668
388,388,S_060610002,37.03941768,-110.41696265
432,432,S_060731006,34.65857614,-104.84061265
455,455,S_060831014,35.65925905,-116.5468455
489,489,S_061050002,39.05549956666667,-109.4809677
504,504,S_080050002,37.13406555,-102.474411975
535,535,S_080770020,39.559847525,-99.7269493
549,549,S_090050005,47.4550644,-27.802907999999995
577,577,S_120090007,9.234820685714286,-16.173626399999993
579,579,S_120110033,32.39276,-79.39520889999999
606,606,S_120573002,-2.9514598500000013,34.48933925
614,614,S_120779991,14.760288,8.1764029
618,618,S_120814013,30.773971825000004,-80.3883913
624,624,S_120860034,35.23396466666666,-54.706726
627,627,S_120864002,27.41781016666667,-85.58832146666667
628,628,S_120866001,30.450091866666668,-80.2916683
636,636,S_121010005,28.605180475,-86.35260704999999
637,637,S_121012001,30.184025575,-86.07545655
661,661,S_130590002,35.08465988571429,-52.76177462857144
669,669,S_131150003,36.8079545,-52.716764833333336
691,691,S_150012020,30.4502992,-108.70951510833332
692,692,S_150012023,29.956632241666668,-135.84142814166668
728,728,S_160570005,54.25122149999999,11.855317083333333
733,733,S_160671011,43.3852029,-106.9151482
771,771,S_171199991,36.4821435,-103.8749073
887,887,S_210930006,29.63505771,-28.104273279999997
902,902,S_212219991,36.6555806,-47.0692481
945,945,S_230173002,39.928836975,-73.18364005000001
954,954,S_240018882,41.8918085,-100.946525
956,956,S_240032002,27.65987925,-79.80475905
959,959,S_240053001,48.30400158,-20.03702112666668
969,969,S_240259001,45.09010735,-5.061826800000002
999,999,S_260050003,48.035518125,-34.7136745
1051,1051,S_270370470,41.32581036666667,-101.22009196666666
1102,1102,S_290970003,36.988448312500005,-28.910789125
1122,1122,S_300290009,45.8662091,-99.93700985
1135,1135,S_300710010,42.12750150000001,-46.743527500000006
1146,1146,S_310550028,40.344124875000006,-102.5651963
1163,1163,S_320030075,34.987988333333334,-100.012514575
1187,1187,S_320312002,39.152311025,-116.2032075
1196,1196,S_330090010,38.13123275,-11.4628705
1233,1233,S_350011013,33.667773,-106.66263715
1237,1237,S_350130020,32.553242725000004,-109.132073175
1241,1241,S_350130024,32.85642075,-106.56139575
